benchmark                   mean                    CIL                     CIH
histogram                   1.807993920395208       1.8056633059087082      1.8103245348817079
kmeans                      0.7195855738280432      0.7189525010039618      0.7202186466521246
linear\_regression          0.8993151642604855      0.8984276239293939      0.9002027045915771
matrix\_multiply            1.0466800299647872      1.0446426176922345      1.0487174422373398
pca                         0.9838912609163606      0.9806325988220431      0.987149923010678
string\_match               0.9181422923698801      0.8798558889859863      0.9564286957537739
word\_count                 1.007158302696088       1.0004703619146205      1.0138462434775555
