benchmark                   mean                    CIL                     CIH
histogram                   0.5942272219559402      0.5894719651274052      0.5989824787844753
kmeans                      0.946310916484317       0.9441411346465618      0.9484806983220722
linear\_regression          0.7769051062315875      0.7645066639186299      0.7893035485445451
matrix\_multiply            1.0000985019673367      0.9829322837995355      1.0172647201351381
string\_match               0.8335827996345667      0.8220755982790183      0.8450900009901151
