benchmark                   mean                    CIL                     CIH
histogram                   1.0                     0.998899016406475       1.001100983593525
kmeans                      1.0                     0.9995426643903835      1.000457335609617
linear\_regression          1.0                     0.9981354413485052      1.0018645586514943
matrix\_multiply            1.0                     0.9980741355239697      1.0019258644760303
pca                         1.0                     0.9976480607941216      1.0023519392058784
string\_match               1.0                     0.9641997763690209      1.0358002236309787
word\_count                 1.0                     0.9938620494746033      1.0061379505253971
