benchmark                   mean                    CIL                     CIH
histogram                   1.0                     0.9969503752501762      1.003049624749824
kmeans                      1.0                     0.9984001988336995      1.001599801166301
linear\_regression          1.0                     0.9917240829816549      1.0082759170183455
matrix\_multiply            1.0                     0.9865955537998565      1.0134044462001435
string\_match               1.0                     0.9961010047313597      1.0038989952686408
