benchmark                   mean                    CIL                     CIH
histogram                   1.8109565903781184      1.80940116236614        1.812512018390097
kmeans                      1.011919041075584       1.0115585251335337      1.0122795570176344
linear\_regression          0.8997746383717711      0.8987699473521119      0.9007793293914302
matrix\_multiply            1.044132195241951       1.0414578198020648      1.0468065706818375
pca                         0.9894967746691088      0.9859407086976567      0.9930528406405609
string\_match               0.9176880388864646      0.8578506658973115      0.9775254118756176
word\_count                 1.0128116849276194      1.003634342104981       1.021989027750258
