benchmark                   mean                    CIL                     CIH
histogram                   0.5885393779223226      0.5833168860013042      0.593761869843341
kmeans                      0.9541492888198484      0.9489082483044148      0.959390329335282
linear\_regression          0.7774088595622779      0.7654817079267513      0.7893360111978045
matrix\_multiply            1.0173281979644464      0.9990334992716539      1.035622896657239
string\_match               1.009523777147174       0.9986915920310049      1.020355962263343
