benchmark                   mean                    CIL                     CIH
histogram                   2.330877293071703       2.301421133036923       2.360333453106483
kmeans                      3.7975738800785224      3.790502565746951       3.8046451944100936
linear\_regression          1.6244126001695658      1.6192506227200305      1.629574577619101
matrix\_multiply            2.1820945394718665      2.1784560499006944      2.1857330290430386
pca                         1.1159089429609785      1.1119800173556993      1.1198378685662578
string\_match               1.5353557532043935      1.478214969060599       1.592496537348188
word\_count                 1.2786352960120901      1.2684391378140516      1.2888314542101287
