benchmark                   mean                    CIL                     CIH
histogram                   1.6401207586672093      1.6077767699536525      1.6724647473807661
kmeans                      3.55428133873178        3.5472326829201655      3.5613299945433945
linear\_regression          2.361595814143951       2.335325745432114       2.3878658828557877
matrix\_multiply            1.1591405955141458      1.1421235952873183      1.1761575957409733
string\_match               1.5532236634858336      1.5435484149525123      1.562898912019155
