benchmark           mean                CIL                 CIH
histogram           1.1359565228792665  1.1196521035667597  1.1522609421917733
kmeans              0.7422606683889865  0.7384720073321368  0.7460493294458362
linear\_regression  1.0192816666195332  1.0037324919680441  1.0348308412710223
matrix\_multiply    1.0841248915043986  1.0339859634583186  1.1342638195504786
pca                 1.0325669651454314  1.017400615372483   1.0477333149183798
string\_match       1.006892317352517   0.9964528129589759  1.0173318217460583
word\_count         1.1347192868375149  1.122203867574955   1.1472347061000747
