benchmark           mean                CIL                     CIH
histogram           1.0                 0.9773737262146136      1.0226262737853864
kmeans              1.0                 0.9959331047611639      1.0040668952388365
linear\_regression  1.0                 0.9889707923260322      1.0110292076739682
matrix\_multiply    1.0                 0.9629923548326818      1.0370076451673182
pca                 1.0                 0.9906553289125606      1.0093446710874394
string\_match       1.0                 0.9955771867197429      1.0044228132802575
word\_count         1.0                 0.9916996901151552      1.0083003098848446
