benchmark           mean                CIL                 CIH
histogram           1.7700335300010113  1.6235184703751657  1.9165485896268568
kmeans              3.249651542466318   3.129947454312507   3.369355630620129
linear\_regression  2.6332827148837463  2.405348339063516   2.8612170907039767
matrix\_multiply    1.1665056377221412  1.1446426950876425  1.18836858035664
string\_match       1.392059908945999   1.3412632213442695  1.4428565965477287
