benchmark           mean                CIL                 CIH
histogram           1.030668969421404   0.9934027366938292  1.0679352021489787
kmeans              4.398852938381847   4.359597693557768   4.438108183205926
linear\_regression  2.46302554678092    2.413584154620744   2.5124669389410963
matrix\_multiply    1.3601372397788498  1.2869883893939962  1.4332860901637035
pca                 1.079686628671289   1.0652216465709683  1.0941516107716096
string\_match       1.4738320207841569  1.4633620669825638  1.48430197458575
word\_count         1.2511549575739274  1.2316063805025685  1.2707035346452862
