benchmark           mean                CIL                 CIH
histogram           1.1000556814066151  1.080093921496489   1.1200174413167412
kmeans              1.1067457367432252  1.099527972229181   1.1139635012572693
linear\_regression  1.0242952740777131  0.9960337593623063  1.05255678879312
matrix\_multiply    1.0877793581554176  1.0323664577800091  1.143192258530826
pca                 1.041595946983133   1.0265653180008212  1.056626575965445
string\_match       1.0064877089302617  0.9960696732627975  1.016905744597726
word\_count         1.132967583977692   1.1228484060998434  1.1430867618555407
